# Sinographic Integration Lexicon - 1500 Core Words
# Format: English,Hanzi,Pinyin,POS,Category,Priority,Logic
# 注：功能词(代词、冠词、助动词等)保留英文原词，用"(保留)"标记

# 1-100: 最高频功能词和核心概念
the,(保留),,art,Relations/Functions,1,T0
be,为,wéi,v,Actions/Changes,1,T2
to,(保留),,prep,Relations/Functions,1,T0
of,之,zhī,prep,Relations/Functions,1,T2
and,和,hé,conj,Relations/Functions,1,T1
a,(保留),,art,Relations/Functions,1,T0
in,在,zài,prep,Relations/Functions,1,T1
have,有,yǒu,v,Actions/Changes,1,T1
it,(保留),,pron,Relations/Functions,1,T0
you,(保留),,pron,People/Society,1,T0
he,(保留),,pron,People/Society,1,T0
do,做,zuò,v,Actions/Changes,1,T2
with,与,yǔ,prep,Relations/Functions,1,T2
on,上,shàng,prep,Relations/Functions,1,T2
this,此,cǐ,pron,Relations/Functions,1,T2
they,(保留),,pron,Relations/Functions,1,T0
at,于,yú,prep,Relations/Functions,1,T2
but,但,dàn,conj,Relations/Functions,1,T1
we,(保留),,pron,People/Society,1,T0
say,言,yán,v,Actions/Changes,1,T1
from,自,zì,prep,Relations/Functions,1,T2
or,或,huò,conj,Relations/Functions,1,T1
will,(保留),,aux,Relations/Functions,1,T0
would,(保留),,aux,Relations/Functions,1,T0
go,去,qù,v,Actions/Changes,1,T1
what,何,hé,pron,Relations/Functions,1,T2
can,能,néng,aux,Actions/Changes,1,T1
get,得,dé,v,Actions/Changes,1,T2
make,造,zào,v,Actions/Changes,1,T2
see,见,jiàn,v,Actions/Changes,1,T1
time,时,shí,n,Nature/Existence,1,T1
up,上,shàng,adv,Relations/Functions,1,T2
look,看,kàn,v,Actions/Changes,1,T1
some,某,mǒu,det,Relations/Functions,1,T2
come,来,lái,v,Actions/Changes,1,T1
think,思,sī,v,Actions/Changes,1,T1
take,取,qǔ,v,Actions/Changes,1,T1
people,人,rén,n,People/Society,1,T1
into,入,rù,prep,Relations/Functions,1,T1
year,年,nián,n,Nature/Existence,1,T1
your,(保留),,pron,Relations/Functions,1,T0
good,好,hǎo,adj,Qualities/Degree,1,T1
know,知,zhī,v,Actions/Changes,1,T1
should,应,yīng,aux,Relations/Functions,1,T2
very,甚,shèn,adv,Qualities/Degree,1,T2
give,予,yǔ,v,Actions/Changes,1,T1
day,日,rì,n,Nature/Existence,1,T1
use,用,yòng,v,Actions/Changes,1,T1
well,善,shàn,adv,Qualities/Degree,1,T2
water,水,shuǐ,n,Nature/Existence,1,T1
sun,日,rì,n,Nature/Existence,1,T1
moon,月,yuè,n,Nature/Existence,1,T1
star,星,xīng,n,Nature/Existence,1,T1
light,光,guāng,n,Nature/Existence,1,T1
fire,火,huǒ,n,Nature/Existence,1,T1
earth,土,tǔ,n,Nature/Existence,1,T1
air,气,qì,n,Nature/Existence,1,T2
wind,风,fēng,n,Nature/Existence,1,T1
rain,雨,yǔ,n,Nature/Existence,1,T1
snow,雪,xuě,n,Nature/Existence,1,T1
cloud,云,yún,n,Nature/Existence,1,T1
stone,石,shí,n,Nature/Existence,1,T1
sand,沙,shā,n,Nature/Existence,1,T1
tree,树,shù,n,Nature/Existence,1,T1
flower,花,huā,n,Nature/Existence,1,T1
grass,草,cǎo,n,Nature/Existence,1,T1
animal,兽,shòu,n,Nature/Existence,1,T2
bird,鸟,niǎo,n,Nature/Existence,1,T1
fish,鱼,yú,n,Nature/Existence,1,T1
dog,犬,quǎn,n,Nature/Existence,1,T1
cat,猫,māo,n,Nature/Existence,1,T1
horse,马,mǎ,n,Nature/Existence,1,T1
cow,牛,niú,n,Nature/Existence,1,T1
pig,猪,zhū,n,Nature/Existence,1,T1
sheep,羊,yáng,n,Nature/Existence,1,T1
chicken,鸡,jī,n,Nature/Existence,1,T1
egg,蛋,dàn,n,Nature/Existence,1,T1
milk,奶,nǎi,n,Nature/Existence,1,T1
meat,肉,ròu,n,Nature/Existence,1,T1
blood,血,xuè,n,Body/Health,1,T1
bone,骨,gǔ,n,Body/Health,1,T1
skin,皮,pí,n,Body/Health,1,T1
hair,发,fà,n,Body/Health,1,T1
head,头,tóu,n,Body/Health,1,T1
eye,眼,yǎn,n,Body/Health,1,T1
ear,耳,ěr,n,Body/Health,1,T1
nose,鼻,bí,n,Body/Health,1,T1
mouth,口,kǒu,n,Body/Health,1,T1
tooth,牙,yá,n,Body/Health,1,T1
tongue,舌,shé,n,Body/Health,1,T1
hand,手,shǒu,n,Body/Health,1,T1
finger,指,zhǐ,n,Body/Health,1,T1
arm,臂,bì,n,Body/Health,1,T2
leg,腿,tuǐ,n,Body/Health,1,T2
foot,足,zú,n,Body/Health,1,T1
heart,心,xīn,n,Body/Health,1,T1
liver,肝,gān,n,Body/Health,2,T1
stomach,胃,wèi,n,Body/Health,2,T1
back,背,bèi,n,Body/Health,1,T1
chest,胸,xiōng,n,Body/Health,2,T1
neck,颈,jǐng,n,Body/Health,2,T1
shoulder,肩,jiān,n,Body/Health,2,T1
knee,膝,xī,n,Body/Health,2,T1

# 101-200: 继续高频词
love,爱,ài,v,Actions/Changes,1,T1
like,好,hào,v,Actions/Changes,1,T3
want,欲,yù,v,Actions/Changes,1,T1
need,需,xū,v,Actions/Changes,1,T1
feel,感,gǎn,v,Actions/Changes,1,T1
become,变,biàn,v,Actions/Changes,1,T1
begin,始,shǐ,v,Actions/Changes,1,T1
end,终,zhōng,v,Actions/Changes,1,T1
help,助,zhù,v,Actions/Changes,1,T1
work,工,gōng,v,Actions/Changes,1,T2
play,玩,wán,v,Actions/Changes,1,T1
run,跑,pǎo,v,Actions/Changes,1,T1
walk,行,xíng,v,Actions/Changes,1,T1
eat,食,shí,v,Actions/Changes,1,T1
drink,饮,yǐn,v,Actions/Changes,1,T1
sleep,睡,shuì,v,Actions/Changes,1,T1
wake,醒,xǐng,v,Actions/Changes,2,T1
live,活,huó,v,Actions/Changes,1,T1
die,死,sǐ,v,Actions/Changes,1,T1
kill,杀,shā,v,Actions/Changes,2,T1
fight,战,zhàn,v,Actions/Changes,2,T1
win,胜,shèng,v,Actions/Changes,2,T1
lose,败,bài,v,Actions/Changes,2,T1
buy,买,mǎi,v,Actions/Changes,1,T1
sell,卖,mài,v,Actions/Changes,1,T1
pay,付,fù,v,Actions/Changes,1,T1
cost,费,fèi,v,Actions/Changes,2,T1
open,开,kāi,v,Actions/Changes,1,T1
close,关,guān,v,Actions/Changes,1,T1
start,始,shǐ,v,Actions/Changes,1,T1
stop,止,zhǐ,v,Actions/Changes,1,T1
move,动,dòng,v,Actions/Changes,1,T1
stay,留,liú,v,Actions/Changes,1,T1
leave,离,lí,v,Actions/Changes,1,T1
arrive,到,dào,v,Actions/Changes,1,T1
enter,进,jìn,v,Actions/Changes,1,T1
exit,出,chū,v,Actions/Changes,1,T1
push,推,tuī,v,Actions/Changes,2,T1
pull,拉,lā,v,Actions/Changes,2,T1
throw,投,tóu,v,Actions/Changes,2,T1
catch,抓,zhuā,v,Actions/Changes,2,T1
hold,持,chí,v,Actions/Changes,2,T1
drop,落,luò,v,Actions/Changes,2,T1
break,破,pò,v,Actions/Changes,2,T1
fix,修,xiū,v,Actions/Changes,2,T1
build,建,jiàn,v,Actions/Changes,2,T1
destroy,毁,huǐ,v,Actions/Changes,2,T1
create,创,chuàng,v,Actions/Changes,2,T1
find,找,zhǎo,v,Actions/Changes,1,T1
lose,失,shī,v,Actions/Changes,2,T3
search,搜,sōu,v,Actions/Changes,2,T1
ask,问,wèn,v,Actions/Changes,1,T1
answer,答,dá,v,Actions/Changes,1,T1
tell,告,gào,v,Actions/Changes,1,T1
speak,说,shuō,v,Actions/Changes,1,T1
